"filename", "language", "C++", "comment", "blank", "total"
"c:\Code\AnymaEngine\src\AnymUtil.h", "C++", 41, 1, 8, 50
"c:\Code\AnymaEngine\src\Array.h", "C++", 160, 1, 25, 186
"c:\Code\AnymaEngine\src\ImGuiConfig.h", "C++", 8, 0, 3, 11
"c:\Code\AnymaEngine\src\Main.cpp", "C++", 165, 25, 46, 236
"c:\Code\AnymaEngine\src\Memory.cpp", "C++", 36, 3, 6, 45
"c:\Code\AnymaEngine\src\Memory.h", "C++", 36, 0, 12, 48
"c:\Code\AnymaEngine\src\Render2D.cpp", "C++", 74, 4, 19, 97
"c:\Code\AnymaEngine\src\Render2D.h", "C++", 36, 0, 12, 48
"c:\Code\AnymaEngine\src\TimVectorMath.cpp", "C++", 299, 150, 60, 509
"c:\Code\AnymaEngine\src\TimVectorMath.h", "C++", 389, 14, 69, 472
"Total", "-", 1244, 198, 260, 1702
